# Emotion-descriptive words with NRC VAD scores
# word	V	A	D
afraid	0.010	0.775	0.245
aggressive	0.125	0.949	0.648
agitated	0.444	0.882	0.491
alarmed	0.188	0.822	0.492
amazed	0.796	0.779	0.533
ambivalent	0.510	0.404	0.482
angry	0.122	0.830	0.604
annoyed	0.104	0.783	0.345
anxious	0.281	0.875	0.434
apathetic	0.188	0.292	0.333
ashamed	0.156	0.588	0.228
astonished	0.510	0.775	0.574
awed	0.364	0.774	0.361
bereaved	0.104	0.479	0.221
bitter	0.218	0.627	0.411
blissful	0.885	0.639	0.676
bold	0.490	0.271	0.483
bored	0.153	0.167	0.196
calm	0.875	0.100	0.282
capable	0.765	0.587	0.547
cheerful	0.990	0.720	0.696
confident	0.765	0.324	0.723
confused	0.220	0.650	0.179
contemptuous	0.204	0.500	0.375
content	0.764	0.296	0.559
crushed	0.167	0.647	0.300
defeated	0.104	0.582	0.145
defiant	0.250	0.792	0.769
delighted	0.938	0.664	0.685
depressed	0.024	0.445	0.136
desolate	0.104	0.320	0.228
despair	0.115	0.794	0.245
determined	0.760	0.528	0.673
disgusted	0.051	0.773	0.274
disheartened	0.153	0.343	0.238
drained	0.310	0.441	0.352
dread	0.153	0.792	0.368
ecstatic	0.875	0.769	0.742
elated	0.792	0.960	0.725
embarrassed	0.184	0.560	0.246
enchanted	0.917	0.633	0.687
enraged	0.083	0.962	0.636
enthusiastic	0.885	0.868	0.848
euphoric	0.745	0.904	0.588
excited	0.908	0.931	0.709
exhausted	0.123	0.423	0.202
fearful	0.083	0.482	0.278
frightened	0.153	0.817	0.255
frustrated	0.080	0.651	0.255
furious	0.062	0.953	0.598
gloomy	0.107	0.410	0.287
grief	0.070	0.640	0.474
guilty	0.135	0.770	0.352
happy	1.000	0.735	0.772
heartbroken	0.082	0.551	0.235
helpless	0.104	0.420	0.214
hopeful	0.947	0.357	0.627
hopeless	0.094	0.298	0.112
horror	0.115	0.850	0.438
hostile	0.188	0.877	0.474
humbled	0.280	0.618	0.198
humiliated	0.104	0.712	0.216
indifferent	0.396	0.157	0.250
indignant	0.260	0.600	0.423
inspired	0.967	0.702	0.736
irritated	0.210	0.816	0.281
joyful	0.990	0.740	0.667
jubilant	0.844	0.673	0.664
liberated	0.780	0.630	0.683
lonely	0.250	0.226	0.238
melancholy	0.188	0.260	0.237
miserable	0.062	0.461	0.188
nervous	0.235	0.820	0.213
numb	0.108	0.420	0.352
optimistic	0.979	0.580	0.821
outraged	0.156	0.696	0.538
overcome	0.719	0.689	0.848
overwhelmed	0.341	0.680	0.348
panicked	0.100	0.949	0.260
peaceful	0.867	0.108	0.569
pensive	0.540	0.220	0.529
pleased	0.939	0.548	0.795
powerless	0.125	0.500	0.328
proud	0.906	0.700	0.873
rebellious	0.344	0.880	0.663
regretful	0.167	0.480	0.188
relaxed	0.865	0.090	0.382
remorseful	0.347	0.429	0.250
resentful	0.120	0.608	0.324
restless	0.219	0.810	0.304
reverent	0.551	0.490	0.694
sad	0.225	0.333	0.149
satisfied	0.959	0.510	0.685
scared	0.146	0.828	0.185
scornful	0.173	0.608	0.368
serene	0.802	0.132	0.370
sorrow	0.052	0.235	0.164
spellbound	0.531	0.647	0.387
tense	0.396	0.439	0.655
terrified	0.090	0.902	0.387
thrilled	0.898	0.818	0.807
timid	0.327	0.276	0.132
torn	0.153	0.510	0.283
trapped	0.135	0.615	0.380
triumphant	0.949	0.837	0.972
uneasy	0.115	0.598	0.349
unhappy	0.112	0.500	0.155
vulnerable	0.198	0.490	0.245
wistful	0.323	0.451	0.312
wonder	0.939	0.771	0.765
worried	0.094	0.824	0.395
